Address,Balance,Transaction count,inEther,outEther,feeEther,inCall,outCall,Call count,,,,,
0x4102d394d723ff141b82ef9a6053fb89f90c67f4,0,2,0,0,0,0,2,2,,,,,
0x269c370cb95b63f9b6a7cad47998167f160a2689,0,2,0,0,0,0,2,2,,,,,
0x3bb9557113fbb052dae3008a2801a072c432c018,0,2,0,0,0,0,2,2,,,,,
0x3f588a72d94d0d0986b112c671c2343320a19386,0,2,0,0,0,0,2,2,,,,,
0x7cfa9eee1d752da599211bc8a68d0687708dabfc,0,2,0,0,0,0,4,4,,,,,
0x7bc23966c419eadcb8a2fc5f83e635c4d4ad0c2f,0,4,0,0,0,0,2,2,,,,,
0xc4ad60337b04fc721912531a52a5d77878293fb9,0,2,0,0,0,0,2,2,,,,,
0xfc5ba3041f750f9b6820ce066c153eb396aac1ff,0,2,0,0,0,0,1,1,,,,,
0x32480c2d857941d2fff4e34f0910b20c0f9c23bc,0,1,0,0,0,0,2,2,,,,,
0x8041c9a96585053db2d7214b5de56828645b8e62,0,1,0,0,0.39041,0,12,12,,,,,
0x444ca66b3ceb4187840cb1a205566a1413d5fecb,0,1,0,0.014221,0,1,3,4,,,,,
0xf084bbaabee1a700a8faa404027db620a5aa0059,0,4,0,0,0,0,1,1,,,,,
0x602d562b4ef2544f851587619b56f77a9d965d45,0,18,0.404631,0,0,4,1,5,,,,,
0x216faec139a61329ef8b31d982de427d9c007a9e,0,2,0,0,0,0,2,2,,,,,
0x11eb17b20113ae923d72e52870d40bf59a08b40d,0,2,0.0013,0,0.00072,0,2,2,,,,,
0xe69017fcc36bbc7fb167b9585bdd47a950ba1992,0,7,0,0,0,2,5,7,,,,,
0xe5549f429a72bfa618cf5c1afdac22a730df6a1a,0,3,0,0.00058,0,0,2,2,,,,,
0x161c2e10407e2a87959c0bae1f342c80eaea28f3,0,2,0,0,0,0,2,2,,,,,
0x4161220db043a7d682e0ad123a3f8fea165711aa,0,2,0,0,0,0,2,2,,,,,
0xb33609811fb3d9fc8955dc6e9e086f1f08fc3a65,0,2,0,0,0.000495,0,2,2,,,,,
0x4148555ea4c00e14f81ef399bbe67ef2fd9811b1,0,5,0.0005,0.000005,0,0,2,2,,,,,
0x4f81e991f76276a17ca92a1321f37189b1727f77,0,10,0,0,0,1,4,5,,,,,
0xba95e317ead06b55c8b70276fc63904b3339dfa1,0,2,0.1,0.000613,0.099387,2,2,4,,,,,
0xf6203c4fb14da640d11fbd9573e3958d017e6745,0,2,0,0,0,0,8,8,,,,,
0x73377d6228266393747efa710017872d6dd5b9a6,0,3,0,0,0,0,2,2,,,,,
0xf7862d105fc6ee69604decc30aa89472ad405961,0,2,0.002,0,0.002,1,3,4,,,,,
0xfa1205e19719c248323563bd55cd8bfd08b0cbc6,0,5,0,0,0,0,5,5,,,,,
0x4f46630115b446f8f7cebe1e5961ef7858c25204,0,4,0,0,0,0,2,2,,,,,
0x7492ebbc1e7f2838fc7191edc031581d5712978a,0,3,0,0,0,0,2,2,,,,,
0xc0af3981f9c0dfcb8955fea07a3e4f23806fab51,0,3,0,0,0,0,2,2,,,,,
0x8621dd642245df371b584b48c081e8863313a70d,0,2,0,0,0,0,3,3,,,,,
0xc328de035c91b39efa07d2fe620813253c9b4ec2,0,2,0,0,0,0,2,2,,,,,
0xa11308e3b741227d41973ddb17534ceb27b8206f,0,2,0,0,0,0,2,2,,,,,
0xc4ff1b4565ee203fa12636e100fe9c89cd18acb7,0,2,0,0,0,0,2,2,,,,,
0x63a36aea8570219476ef835f09024acdedfee95a,0,2,0,0,0,0,2,2,,,,,
0xf7205066c153f7c88dc3653ebc72b438884ae109,0,2,0,0,0,0,2,2,,,,,
0xa8ce5c40c4aa9278ddeaa418e775985549960e7a,0,7,0,0,0,0,7,7,,,,,
0x81f58f2194b0413806bf2ce8e1654bc855dc65a1,0,15,0.2,0,0.162,1,13,14,,,,,
0xf0218008120201e66b65fce4df9035007e811228,0,21,0,0.038,0,0,12,12,,,,,
0x90f022e3ca8453f5e5765cd3054003b544526eec,0,2,1.037,0.122724,0.914276,9,2,11,,,,,
0x1d1f873ba1ddf7915e6e26f93f5624b40efaefe2,0,2,0,0,0,0,7,7,,,,,
0x0311afd3bc2ae250d5f9f2706bae2ef4164d6912,0,12,0.047834,0.00005,0.004284,5,2,7,,,,,
0x5044a80bd3eff58302e638018534bbda8896c48a,0,221,0.004335,0.00016,0.009524,2,3,5,,,,,
0xfc32402667182d11b29fab5c5e323e80483e7800,0,4,0.01,0.00003,0.000903,1,1,2,,,,,
0x25a71a07cecf1753ee65b00e0a3aaef7e0f51c0f,0,14,0.01012,0.000476,0.00996,2,3,5,,,,,
0x718811e2d1170db844d0c5de6d276b299f2916a9,0,3,0.001,0.000097,0.043843,7,7,14,,,,,
0x2af2c21dd70decf579064c02f66b8138bc47ebb2,0,4,0.0001,0.003992,0.00027,1,3,4,,,,,
0x94eae9ae79b6d7883a45d7062df59622e4cd649f,0,4,0.000006,0.000058,0.000042,1,1,2,,,,,
0x94731ccd972053ef09add89e93eec803fc5fbc65,0,2,0.0003,0.000001,0.000006,1,3,4,,,,,
